                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0133,                 3.7309,                 4.3539,                0.00362,                0.91667,                 0.0275,                0.00867,                 2.6005,                 3.7086,                 4.1585,                0.00014,                0.00014,                0.00014
                      2,                 3.0627,                 3.5069,                 4.2384,                0.00356,                0.90909,                0.03438,                0.01021,                 2.5985,                 3.7006,                 4.1571,             0.00029703,             0.00029703,             0.00029703
                      3,                 2.9666,                 3.3693,                 4.1549,                0.00364,                0.91667,                0.03202,                0.01092,                 2.5955,                 3.6899,                 4.1556,             0.00045089,             0.00045089,             0.00045089
                      4,                 2.9461,                 3.3553,                 4.0756,                0.00359,                0.91667,                0.09138,                0.02912,                 2.5861,                  3.664,                 4.1523,             0.00060159,             0.00060159,             0.00060159
                      5,                 2.8891,                 3.2558,                   3.96,                0.00354,                0.91667,                0.02746,                0.01102,                  2.567,                 3.6365,                 4.1501,             0.00074911,             0.00074911,             0.00074911
                      6,                  2.904,                 3.0467,                  3.827,                 0.0035,                0.91667,                0.01265,                0.00488,                 2.6354,                  3.634,                 4.2599,             0.00089347,             0.00089347,             0.00089347
                      7,                 2.7182,                 2.9888,                 3.6812,                0.00354,                0.92424,                0.01365,                0.00484,                 2.7179,                 3.6402,                 4.4021,              0.0010347,              0.0010347,              0.0010347
                      8,                 2.8849,                 2.8665,                 3.6396,                0.00354,                0.92424,                0.01482,                0.00508,                 2.7217,                 3.6398,                 4.4205,              0.0011727,              0.0011727,              0.0011727
                      9,                 2.8351,                 2.8624,                 3.5545,                0.00364,                0.92424,                0.02375,                0.00674,                 2.9127,                 3.6989,                 4.6304,              0.0013075,              0.0013075,              0.0013075
                     10,                 2.8029,                 2.7479,                 3.4488,                0.00363,                0.92424,                 0.0223,                0.00658,                 2.9057,                 3.6573,                  4.623,              0.0014392,              0.0014392,              0.0014392
                     11,                 2.8442,                 2.7958,                 3.3723,                 0.0087,                0.68182,                0.13656,                0.03114,                 3.0582,                 3.6115,                 4.9553,              0.0015677,              0.0015677,              0.0015677
                     12,                 2.8357,                 2.8616,                 3.3741,                0.00899,                0.67424,                0.04479,                0.01146,                 3.0756,                 3.5777,                 4.9618,              0.0016931,              0.0016931,              0.0016931
                     13,                 2.8057,                 2.7229,                 3.3265,                0.00371,                0.92424,                 0.0195,                0.00724,                 2.6612,                  3.481,                 4.2417,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.7974,                 2.6247,                 3.2698,                0.00893,                0.73485,                0.01945,                0.00686,                 2.8398,                 3.6454,                 4.5628,              0.0017624,              0.0017624,              0.0017624
                     15,                  2.775,                 2.7607,                 3.2602,                0.01103,                0.76515,                0.02416,                0.00853,                 2.9774,                 3.5274,                 4.5789,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.6999,                  2.654,                 3.1985,                0.05914,                0.04545,                0.02806,                0.00864,                 2.9155,                  3.497,                 4.4611,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.5932,                 2.5702,                 3.1961,                0.09019,                0.09091,                0.03377,                 0.0106,                 2.7735,                 3.7812,                 4.2793,               0.001703,               0.001703,               0.001703
                     18,                 2.5688,                 2.5196,                 3.1211,                0.18011,                0.33333,                0.14442,                0.04594,                 2.5034,                 3.5642,                 3.4339,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.4952,                  2.539,                 3.0624,                0.21669,                0.33113,                0.21489,                0.06434,                 2.2788,                 5.5579,                 3.4026,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.5366,                 2.4385,                 3.0699,                0.21017,                0.31818,                0.21569,                0.07068,                 2.2699,                 7.1012,                 3.3897,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.5264,                 2.4331,                 3.0942,                0.31525,                0.60606,                0.37141,                0.13771,                 2.1967,                 2.7958,                 3.0548,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.4134,                 2.3573,                 2.9627,                0.35941,                    0.5,                0.34438,                0.10124,                 2.3487,                  2.536,                 3.2309,               0.001604,               0.001604,               0.001604
                     23,                 2.2925,                 2.3009,                 2.8655,                0.28473,                0.46212,                0.29008,                 0.0952,                  2.259,                 2.6502,                 3.2026,              0.0015842,              0.0015842,              0.0015842
                     24,                  2.337,                 2.2429,                 2.9339,                0.32907,                0.41667,                0.26901,                0.11622,                 2.1677,                 2.6282,                 3.0622,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.3329,                 2.3609,                 2.9445,                 0.4788,                0.53788,                0.52039,                0.22749,                 2.0869,                 2.4214,                 2.9395,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.2835,                 2.2332,                 2.9026,                0.40916,                0.49242,                0.34876,                0.13617,                 2.0544,                 2.3539,                 2.8388,              0.0015248,              0.0015248,              0.0015248
                     27,                   2.25,                 2.1939,                 2.7983,                 0.0417,                0.10606,                 0.0449,                0.01636,                 2.1162,                 3.5425,                  3.033,               0.001505,               0.001505,               0.001505
